615120,COMPOUND  VR Only,19.99,19.99,2022-07-19
1471410,SYNTHETIK 2,19.99,19.99,2021-11-11
1835240,Spiritfall,0.00,0.00,2023-04-03
269210,Hero Siege,6.99,6.99,2014-01-29
1966900,20 Minutes Till Dawn,4.99,4.99,2022-06-07
1266840,The Last Stand: Aftermath,24.99,24.99,2021-11-16
1125240,Ancient Dungeon  VR Only,19.99,19.99,2021-11-03
1451460,Dead Cells: Fatal Falls,4.99,4.99,2021-01-26
1582620,Mega Man X DiVE,0.00,0.00,2021-09-14
2009860,Tower Escape,7.99,7.99,2023-02-15
858210,Nova Drift,17.99,8.09,2019-03-27
445980,Wizard of Legend,15.99,15.99,2018-05-15
1709900,Tower Tactics: Liberation,12.99,12.99,2023-02-06
1442450,Monsters Domain,0.00,0.00,2023-06-01
418530,Spelunky 2,19.99,19.99,2020-09-29
677120,Heroes of Hammerwatch,11.99,11.99,2018-03-01
1296830,暖雪 Warm Snow,17.99,17.99,2022-01-18
1484720,Dead Estate,14.99,14.99,2021-10-19
512900,Streets of Rogue,19.99,19.99,2019-07-12
1204130,Dead Cells: The Bad Seed,4.99,4.99,2020-02-11
1809490,Gloomhaven - Jaws of the Lion,17.99,17.99,2022-05-17
597170,Clone Drone in the Danger Zone,19.99,10.99,2021-07-27
333640,Caves of Qud,19.99,19.99,2015-07-15
1150530,Wizard with a Gun,0.00,0.00,2023-12-31
2067920,Rogue: Genesia,4.99,4.99,2022-09-19
897670,Grim Dawn - Forgotten Gods Expansion,15.99,15.99,2019-03-27
625960,Stoneshard,24.99,24.99,2020-02-06
787810,Rogue Heroes: Ruins of Tasos,19.99,19.99,2021-02-23
247080,Crypt of the NecroDancer,14.99,14.99,2015-04-23
456670,Hand of Fate 2,29.99,11.99,2017-11-07
1601740,Corpse Keeper,19.99,19.99,2023-02-14
2068280,Nordic Ashes: Survivors of Ragnarok,4.99,4.99,2022-12-15
590380,Into the Breach,14.99,14.99,2018-02-27
1668690,Alina of the Arena,14.99,14.99,2022-10-13
2088570,Tiny Rogues,5.99,5.99,2022-09-23
212680,FTL: Faster Than Light,9.99,9.99,2012-09-14
252610,Death Road to Canada,14.99,3.74,2016-07-21
1955340,Super Raft Boat Together,0.00,0.00,2023-12-31
1952540,Voltaire: The Vegan Vampire,0.00,0.00,2023-02-27
1968730,Bounty of One,4.99,4.99,2022-08-18
1579020,Golfie,17.99,17.99,2023-01-19
2187290,Wall World,0.00,0.00,2023-12-31
943370,Bravery and Greed,19.99,19.99,2022-11-15
1319550,Power of Ten,11.99,7.19,2023-01-11
788100,Neon Abyss,19.99,19.99,2020-07-14
1075740,Banners of Ruin,19.99,6.99,2021-07-29
2087030,Shatterline,0.00,0.00,2022-09-08
1722860,Munchkin Digital,14.99,14.99,2022-12-01
1668290,Dungeons of Aether,0.00,0.00,2023-02-28
1866880,Cultivation Story: Reincarnation,9.99,9.99,2023-01-30
2060750,Star Survivor,0.00,0.00,2023-03-02
1335830,Len's Island,24.99,24.99,2021-11-26
489520,Minion Masters,0.00,0.00,2019-05-24
1694420,Card Survival: Tropical Island,24.99,19.99,2022-09-16
1679220,Portal Dungeon,12.99,12.99,2022-12-14
1280930,Astral Ascent,24.99,24.99,2022-04-12
2003050,Perseus: Titan Slayer,7.99,7.99,2023-02-13
1535100,Nadir: A Grimdark Deckbuilder,19.99,19.99,2023-02-07
858260,Until You Fall  VR Only,24.99,24.99,2020-10-27
1498040,Bio Prototype,2.99,2.99,2022-12-16
600610,The Hand of Merlin,24.99,12.49,2022-06-14
248820,Risk of Rain,9.99,9.99,2013-11-08
981430,Gordian Quest,19.99,19.99,2022-06-23
861540,Dicey Dungeons,14.99,14.99,2019-08-13
1282730,Loop Hero,14.99,14.99,2021-03-04
2181720,Scarlet Tower,4.99,4.99,2022-10-31
978520,Legend of Keepers: Career of a Dungeon Manager,19.99,4.99,2021-04-29
