401920,The Binding of Isaac: Afterbirth,10.99,10.99,2015-10-30,42804|4711|4026|492|1756|1720|171
1944570,Boneraiser Minions,4.99,4.99,2023-03-09,42804|4885|3964|3959|3871|492|401
1102190,Monster Train,24.99,4.99,2020-05-21,791774|3959|1666|14139|1716|32322|177
2066020,Soulstone Survivors,9.99,9.99,2022-11-07,493|42804|3959|4885|4231|4791|170
1296610,Peglin,19.99,19.99,2022-04-25,32322|3959|6621|1677|1759|1716|472
1385380,Across the Obelisk,19.99,19.99,2022-08-16,1685|1091588|1666|791774|1716|32322|12
2111850,Gunfire Reborn - Visitors of Spirit Realm,6.99,6.99,2022-08-28,21|19|492|122|1663|171
1580050,Dead Cells: The Queen and the Sea,4.99,4.99,2022-01-06,19|492|1716|1628|3959|396
570660,The Binding of Isaac: Afterbirth+,0.00,0.00,2017-01-03,492|42804|4026|4711|21|19|396
858820,Tribes of Midgard,19.99,19.99,2021-07-27,1100689|6730|4231|3843|3859|11634|733
1135230,Ember Knights,14.99,14.99,2022-04-20,493|42804|3959|3964|1720|1646|2
1244800,Terraformers,19.99,19.99,2023-03-09,4182|3942|1755|6426|1716|1741|894
1337520,Risk of Rain Returns,0.00,0.00,2023-12-31,42804|3859|1685|19|3993|1755|387
1975580,Wild Woods,0.00,0.00,2023-12-31,597|1685|3859|1773|42804|1646|170
1451460,Dead Cells: Fatal Falls,4.99,4.99,2021-01-26,19|492|1716|3964|1628|29482|413
1722860,Munchkin Digital,14.99,14.99,2023-03-09,4046|4136|3916|21|597|122|177
1347970,Patch Quest,14.99,14.99,2023-03-02,21|7332|3959|916648|4885|4255|554
311690,Enter the Gungeon,14.99,14.99,2016-04-05,4885|42804|1716|3964|4026|1720|49
1494810,Mortal Sin,19.99,19.99,2023-03-15,42804|1720|3839|122|19|492|395
1204130,Dead Cells: The Bad Seed,4.99,4.99,2020-02-11,19|492|1716|1628|3959|3964|2948
1582620,Mega Man X DiVE,0.00,0.00,2021-09-14,19|3798|42804|1775|113|4085|410
219740,Don't Starve,9.99,9.99,2013-04-23,1662|1100689|1702|21|492|3810|418
